DEPTH(TVD),BDCFM,DTCR,Por,Permeability,Water_saturation,Clay,Sand,Calcite,UGas_QE,UOil_QE,UWater_QE
3701.7,2.565134545,73.14519133,0.055812371,0.032221143,1,0.445415824,0.498771836,0,0,0,0.055812371
3701.8,2.558309091,73.39808195,0.056263216,0.033183327,1,0.440895646,0.502841084,0,0,0,0.056263216
3701.9,2.545534546,73.78221036,0.058350766,0.038255084,1,0.429806403,0.487684049,0.024158728,0,0,0.058350766
3702,2.53274,74.24725217,0.066829837,0.068192167,1,0.375976588,0.459660531,0.097533073,0,0,0.066829837
3702.1,2.521218182,74.62150891,0.07454904,0.111547022,1,0.329679689,0.429734779,0.16603659,0,0,0.07454904
3702.2,2.515540272,74.64112067,0.078769416,0.149325702,0.992967743,0.309223469,0.408849852,0.203157279,0,0.000596401,0.078172997
3702.3,2.508928343,74.2989643,0.087120264,0.261542433,0.928723823,0.298334748,0.408760834,0.205784079,0,0.006284315,0.080835947
3702.4,2.493643636,73.54156349,0.096088064,0.487060972,0.866027288,0.291550913,0.423114783,0.189246204,0,0.012992228,0.083095826
3702.5,2.483466364,72.71899589,0.102660385,0.717095756,0.828608639,0.280025085,0.428957495,0.188357088,0,0.017599382,0.085060982
3702.6,2.49439,71.75756445,0.100417604,0.623349281,0.829546323,0.293805475,0.417484309,0.188292632,0,0.017125686,0.083291901
3702.7,2.520234972,70.60736425,0.090646835,0.33675522,0.872398604,0.326969767,0.404596931,0.177786479,0,0.011644556,0.079002278
3702.8,2.546853411,69.26113971,0.066053399,0.069883589,0.956249867,0.436146359,0.405237298,0.092562936,0,0.002978306,0.063075091
3702.9,2.565417382,67.97479082,0.048630336,0.020019309,1,0.519905677,0.398195625,0.033268344,0,0,0.048630336
3703,2.568185455,67.12642039,0.049815494,0.021817018,1,0.500229871,0.360052393,0.089902236,0,0,0.049815494
3703.1,2.560906877,67.00056107,0.056105733,0.033993337,1,0.445913467,0.308615657,0.189365102,0,0,0.056105733
3703.2,2.562543566,67.65211641,0.061754303,0.047758322,1,0.408469832,0.287380334,0.242395506,0,0,0.061754303
3703.3,2.567937727,68.63299155,0.059690355,0.041971223,1,0.443815722,0.280975637,0.215518324,0,0,0.059690355
3703.4,2.567435455,69.5587231,0.057958958,0.037128527,1,0.509755926,0.260999548,0.171285641,0,0,0.057958958
3703.5,2.564244091,70.15906586,0.061325362,0.046496443,0.956353933,0.609339292,0.206393067,0.122942368,0,0.002689983,0.058635384
3703.6,2.56078,70.25508219,0.0641412,0.055945312,0.959825295,0.735218475,0.151144478,0.049495821,0,0.002578627,0.061562571
3703.7,2.555851818,71.46443119,0.06208836,0.048875378,0.973045625,0.791714632,0.146197042,0,0,0.00167215,0.060416208
3703.8,2.549689091,73.54920573,0.064268772,0.056437028,0.98033115,0.793392276,0.142338983,0,0,0.001260372,0.063008397
3703.9,2.546535909,76.63064007,0.065410422,0.060809467,0.993641921,0.793051815,0.141537771,0,0,0.000414847,0.064995575
3704,2.545395451,80.0671503,0.065329716,0.060487699,1,0.793113414,0.141556852,0,0,0,0.065329716
3704.1,2.543496174,83.11106213,0.0674142,0.069680592,1,0.783247682,0.149338091,0,0,0,0.0674142
3704.2,2.542115909,85.1298651,0.06872954,0.075757194,1,0.776135767,0.15513469,0,0,0,0.06872954
3704.3,2.543069751,86.38241509,0.066002606,0.06324461,1,0.783573314,0.150424059,0,0,0,0.066002606
3704.4,2.546836364,86.71329381,0.064460429,0.057098455,1,0.778979203,0.156560317,0,0,0,0.064460429
3704.5,2.551910909,86.86141547,0.063550774,0.05396601,1,0.771979428,0.164469785,0,0,0,0.063550774
3704.6,2.55444,87.06267656,0.061475473,0.046859744,1,0.77719062,0.143973544,0.017360345,0,0,0.061475473
3704.7,2.553847273,87.61423185,0.060399565,0.043708912,1,0.780453804,0.105267903,0.053878703,0,0,0.060399565
3704.8,2.552287273,88.48621774,0.058490553,0.038503348,1,0.788993568,0.080024529,0.07249135,0,0,0.058490553
3704.9,2.551150909,89.1483339,0.057235712,0.035399049,1,0.782958962,0.079902644,0.079902644,0,0,0.057235712
3705,2.551,89.59643817,0.059924789,0.042295001,1,0.741707945,0.099183608,0.099183618,0,0,0.059924789
3705.1,2.550736364,89.88771942,0.061397645,0.046623531,1,0.720318144,0.110519706,0.107764488,0,0,0.061397645
3705.2,2.548463636,89.96997997,0.060776033,0.044738815,1,0.71553795,0.125625327,0.098060687,0,0,0.060776033
3705.3,2.547809091,89.99983924,0.060558026,0.044099425,1,0.716268681,0.134473324,0.088699958,0,0,0.060558026
3705.4,2.552799316,89.99999796,0.058936342,0.039761671,1,0.726346308,0.125650421,0.089066914,0,0,0.058936342
3705.5,2.564205479,90,0.055337876,0.031396217,1,0.749326543,0.108096734,0.087238848,0,0,0.055337876
3705.6,2.576178733,90,0.051902889,0.024931359,1,0.769961423,0.101233191,0.076902475,0,0,0.051902889
3705.7,2.581844215,90,0.049112777,0.02067867,1,0.776875015,0.114379457,0.059632721,0,0,0.049112777
3705.8,2.582607928,90,0.048723086,0.020174095,1,0.73042976,0.164042326,0.056804833,0,0,0.048723086
3705.9,2.576612639,90,0.051275993,0.023851545,1,0.662297075,0.247874133,0.038552767,0,0,0.051275993
3706,2.565575909,90,0.053219373,0.027469581,1,0.593116505,0.337099233,0.016564902,0,0,0.053219373
3706.1,2.557932727,90,0.057672391,0.03658093,1,0.51796513,0.393063695,0.031298814,0,0,0.057672391
3706.2,2.556,90,0.058526111,0.038557174,1,0.477197271,0.427218081,0.037058534,0,0,0.058526111
3706.3,2.556789545,90,0.058875756,0.039458037,1,0.454358759,0.446504295,0.040261196,0,0,0.058875756
3706.4,2.557,90,0.058774365,0.039186264,1,0.442901885,0.454476241,0.043847528,0,0,0.058774365
3706.5,2.554626364,90,0.058243157,0.037862918,1,0.441019969,0.453707458,0.047029367,0,0,0.058243157
3706.6,2.548006818,90,0.060989148,0.045440807,1,0.418736739,0.418323806,0.101950281,0,0,0.060989148
3706.7,2.542992102,89.99905588,0.063572348,0.054058975,1,0.394348191,0.350331647,0.191747787,0,0,0.063572348
3706.8,2.542910567,89.9599139,0.066201897,0.064158391,1,0.370444376,0.290796761,0.272556954,0,0,0.066201897
3706.9,2.549941818,89.78674009,0.064956912,0.059346089,1,0.387040412,0.27400134,0.27400134,0,0,0.064956912
3707,2.557538988,89.97054231,0.058744317,0.039838604,1,0.478034166,0.231610763,0.231610763,0,0,0.058744317
3707.1,2.559901008,89.2532282,0.054991763,0.030539914,0.925351557,0.624081051,0.160463608,0.160463608,0,0.004087342,0.05090442
3707.2,2.562,85.71707281,0.049484868,0.021262273,0.929966267,0.751811193,0.117540581,0.081163386,0,0.003485031,0.045999835
3707.3,2.562523636,78.90670627,0.04344108,0.014339834,1,0.792101372,0.131900834,0.032556705,0,0,0.04344108
3707.4,2.566554545,76.16638457,0.04851569,0.01990449,1,0.754829426,0.153035499,0.043619428,0,0,0.04851569
3707.5,2.571341818,76.95484544,0.052127201,0.025583264,1,0.689780641,0.213191913,0.044900277,0,0,0.052127201
3707.6,2.573,76.50383808,0.055973082,0.032609865,1,0.615274874,0.287766185,0.040985886,0,0,0.055973082
3707.7,2.573,75.54832916,0.056777559,0.03433276,1,0.577562629,0.341898123,0.0237617,0,0,0.056777559
3707.8,2.573,73.1047423,0.059544033,0.041334577,1,0.548602887,0.364181526,0.027671606,0,0,0.059544033
3707.9,2.573,70.92302415,0.059323301,0.040637552,1,0.545059341,0.366430539,0.029186858,0,0,0.059323301
3708,2.573139519,70.39744141,0.056682402,0.034128226,1,0.567517797,0.354659201,0.021140661,0,0,0.056682402
3708.1,2.574561705,70.70118047,0.055721319,0.0320139,1,0.578284217,0.33856411,0.027430345,0,0,0.055721319
3708.2,2.575153636,70.69435791,0.055730462,0.032033367,1,0.588308327,0.324528286,0.03143289,0,0,0.055730462
3708.3,2.571202273,70.44995027,0.0557538,0.032082825,1,0.603135222,0.313888206,0.027222777,0,0,0.0557538
3708.4,2.562736818,70.50481054,0.05529024,0.031121133,1,0.628958475,0.300711013,0.01504027,0,0,0.05529024
3708.5,2.554174091,71.15275427,0.055375726,0.031290917,1,0.655267441,0.276856092,0.012500696,0,0,0.055375726
3708.6,2.55202877,72.17392994,0.056514664,0.033742405,1,0.662067446,0.2379911,0.043426867,0,0,0.056514664
3708.7,2.55592,72.92991133,0.055165135,0.030933532,1,0.671842413,0.200726674,0.072265746,0,0,0.055165135
3708.8,2.565010909,72.90759446,0.051768308,0.024660801,1,0.688046425,0.190274682,0.069910558,0,0,0.051768308
3708.9,2.572163182,71.60689168,0.051334804,0.023974413,1,0.679126313,0.205216015,0.064322905,0,0,0.051334804
3709,2.572423068,71.17596151,0.054081003,0.02890288,1,0.652265796,0.226098913,0.067554297,0,0,0.054081003
3709.1,2.56698579,70.96998567,0.057260625,0.035540061,1,0.633358885,0.236937966,0.072442494,0,0,0.057260625
3709.2,2.560959091,69.85984646,0.05704199,0.034956919,1,0.656893597,0.227680462,0.058383936,0,0,0.05704199
3709.3,2.556221818,67.52600007,0.057060456,0.034981884,1,0.689651405,0.203594445,0.049693655,0,0,0.057060456
3709.4,2.552837763,65.84991247,0.061019537,0.045516047,1,0.666782204,0.185661419,0.086536758,0,0,0.061019537
3709.5,2.551664488,68.03597534,0.06324242,0.052680137,1,0.62522258,0.195964501,0.115570512,0,0,0.06324242
3709.6,2.555454545,73.71078083,0.062846136,0.0513104,1,0.580367582,0.238666236,0.118120055,0,0,0.062846136
3709.7,2.5585,79.99359513,0.063190315,0.0525064,1,0.52684685,0.29970115,0.1102617,0,0,0.063190315
3709.8,2.558361823,85.26370936,0.063788256,0.05461788,1,0.471281114,0.351127912,0.113802739,0,0,0.063788256
3709.9,2.55566,90.01407755,0.065855228,0.062761232,1,0.429842274,0.373497784,0.130804732,0,0,0.065855228
3710,2.555912429,93.16989476,0.064381329,0.056850814,1,0.418046719,0.370180503,0.147391488,0,0,0.064381329
3710.1,2.565625,94.11063196,0.059408966,0.040993864,1,0.429657453,0.344851268,0.16608224,0,0,0.059408966
3710.2,2.577545455,93.00899378,0.054201741,0.0289522,1,0.453755324,0.330135281,0.161907699,0,0,0.054201741
3710.3,2.583669636,92.87675775,0.055051421,0.030847676,1,0.446030053,0.336811208,0.162107341,0,0,0.055051421
3710.4,2.579224507,94.53496794,0.057705491,0.036509146,1,0.433373869,0.361643011,0.14727764,0,0,0.057705491
3710.5,2.566428182,97.19547905,0.062634305,0.052173484,1,0.40868723,0.383989033,0.144689416,0,0,0.062634305
3710.6,2.551267727,98.56784667,0.068123605,0.073078485,1,0.374871487,0.390760423,0.16624448,0,0,0.068123605
3710.7,2.541805,100.4180995,0.067019692,0.067716205,1,0.379191899,0.388613258,0.165175151,0,0,0.067019692
3710.8,2.537935734,101.5924931,0.068755099,0.075899942,0.999996345,0.37476438,0.375272432,0.181208175,0,2.59E-07,0.068754839
3710.9,2.533867034,99.38401852,0.071980668,0.094807447,0.994346392,0.365897695,0.370849943,0.191271612,0,0.000431439,0.071549205
3711,2.525556364,86.95379853,0.075847769,0.121574144,0.962389734,0.366071277,0.368660651,0.189420252,0,0.002847756,0.073000014
3711.1,2.518232727,80.38662339,0.075495894,0.118907745,0.95460982,0.381021885,0.372801655,0.170680602,0,0.003426358,0.072069537
3711.2,2.517159117,80.86706247,0.074934103,0.114864948,0.960231265,0.391507238,0.375155693,0.158402932,0,0.002987046,0.071947055
3711.3,2.523057003,83.04029945,0.067982225,0.074165895,0.973692203,0.437551075,0.380830527,0.113636209,0,0.001809315,0.066172908
3711.4,2.535330909,82.03747755,0.061515851,0.047320298,0.977920344,0.491257605,0.381996672,0.065229908,0,0.001358605,0.060157246
3711.5,2.551959091,85.6777292,0.054404672,0.029349634,0.997238495,0.545680699,0.388675626,0.011239023,0,0.000150579,0.054254085
3711.6,2.563534545,89.72695612,0.052504761,0.025873319,1,0.578229118,0.369266135,0,0,0,0.052504761
3711.7,2.567,92.43073208,0.052786429,0.0263628,1,0.571243709,0.375969858,0,0,0,0.052786429
3711.8,2.566185143,92.20221366,0.053270134,0.027219479,1,0.548962411,0.394196319,0.003571166,0,0,0.053270134
3711.9,2.561699071,91.91519934,0.054712022,0.03002729,1,0.513196453,0.408908021,0.023183484,0,0,0.054712022
3712,2.556238182,91.7964778,0.057140135,0.035234547,1,0.477373761,0.399931432,0.065554642,0,0,0.057140135
3712.1,2.555826818,91.8743393,0.056698767,0.034172609,1,0.449495269,0.381159297,0.112646638,0,0,0.056698767
3712.2,2.560826879,92.04334867,0.058210102,0.037757467,1,0.436354821,0.326991832,0.178443215,0,0,0.058210102
3712.3,2.568547727,92.17621651,0.06362834,0.054038487,1,0.42311155,0.267738981,0.245521055,0,0,0.06362834
3712.4,2.572508182,92.12490013,0.063253563,0.052726315,1,0.478518909,0.248587613,0.20963991,0,0,0.063253563
3712.5,2.568324091,91.90747108,0.061425495,0.0469562,1,0.556457458,0.260360532,0.121756543,0,0,0.061425495
3712.6,2.559850909,91.5848748,0.063030952,0.053322174,1,0.633379154,0.254815183,0.048774711,0,0,0.063030952
3712.7,2.552725,91.30200807,0.069997989,0.08358448,1,0.683287818,0.220363316,0.026350854,0,0,0.069997989
3712.8,2.547826612,91.12153548,0.072576748,0.097750757,1,0.725003513,0.191278892,0.011140798,0,0,0.072576748
3712.9,2.545122908,91.03247266,0.074907276,0.114103528,1,0.754277843,0.161565402,0.009249452,0,0,0.074907276
3713,2.540546283,91.01252221,0.075272644,0.117231292,1,0.792075919,0.132630954,2.06E-05,0,0,0.075272644
3713.1,2.533490196,91.09041112,0.080285185,0.163648815,0.997570984,0.815120047,0.104270581,0.000324155,0,0.000201979,0.080083208
3713.2,2.525492727,91.22080031,0.084783621,0.221648413,0.981541539,0.849354268,0.065436164,0.000425915,0,0.001586004,0.083197622
3713.3,2.518032727,91.39750382,0.090434442,0.324124811,0.958657962,0.860864956,0.04845736,0.000243215,0,0.003766592,0.086667845
3713.4,2.510583636,91.51994969,0.094165353,0.408573894,0.951176831,0.847504356,0.058250209,8.01E-05,0,0.004595946,0.089569408
3713.5,2.504163636,91.46844177,0.09673421,0.485049268,0.944953407,0.843091128,0.060174678,0,0,0.005329678,0.091404533
3713.6,2.498481818,91.01941329,0.099160321,0.56850099,0.937009255,0.835498922,0.065340766,0,0,0.006247258,0.09291306
3713.7,2.49496,90.48813806,0.100477138,0.619927744,0.929064688,0.837103852,0.062419048,0,0,0.007127382,0.093349765
3713.8,2.495237499,89.9554455,0.09807563,0.534478266,0.934343585,0.848430982,0.053493362,0,0,0.006465128,0.091610499
3713.9,2.505460914,89.4758079,0.092603606,0.368373302,0.96064618,0.837658469,0.069737925,0,0,0.003646562,0.088957045
3714,2.521993402,89.15916049,0.090638507,0.323921854,0.965593999,0.821936577,0.087424951,0,0,0.003118489,0.087520015
3714.1,2.533640909,88.44709342,0.093773596,0.40768569,0.952367525,0.801014997,0.105211444,0,0,0.004503229,0.089270361
3714.2,2.534513636,87.01828546,0.101808817,0.690207957,0.927621144,0.7654139,0.132777216,0,0,0.007398276,0.094410575
3714.3,2.525204545,85.29158373,0.109590259,1.144074757,0.897170046,0.748713549,0.141696092,0,0,0.011289459,0.098300806
3714.4,2.510872727,84.13453552,0.115681626,1.696267762,0.876136143,0.731195153,0.153123219,0,0,0.014328603,0.101352985
3714.5,2.502695455,83.21781339,0.11325374,1.468458424,0.871149076,0.734396321,0.152349855,0,0,0.014615576,0.098638188
3714.6,2.502154545,82.64958939,0.103984065,0.803696864,0.898542118,0.748389839,0.147626085,0,0,0.01060281,0.093381246
3714.7,2.507975,82.39902121,0.094403129,0.431718841,0.93284363,0.75742901,0.14816783,0,0,0.006400469,0.088002655
3714.8,2.517073721,81.80366346,0.08433616,0.222058492,0.967724657,0.767903373,0.147760447,0,0,0.002794144,0.081542016
3714.9,2.530998705,81.03022586,0.076647886,0.129714641,0.994933417,0.760259832,0.163092312,0,0,0.000407847,0.076240039
3715,2.548687273,79.63777215,0.073193168,0.101939892,1,0.731110884,0.149903243,0.045792687,0,0,0.073193168
3715.1,2.56191,77.86948934,0.068934424,0.076808346,1,0.734128887,0.125420918,0.071515791,0,0,0.068934424
3715.2,2.565615455,76.33300339,0.064753418,0.05823822,1,0.741689691,0.136952693,0.056604223,0,0,0.064753418
3715.3,2.561941818,74.52419077,0.063696428,0.054282353,1,0.747774963,0.15437152,0.034157103,0,0,0.063696428
3715.4,2.557797273,72.92048801,0.062312421,0.04984906,1,0.743426493,0.175699216,0.018561882,0,0,0.062312421
3715.5,2.555462727,71.65503828,0.059673093,0.041609674,1,0.730095678,0.204824578,0.005406545,0,0,0.059673093
3715.6,2.550958182,70.3843333,0.062402909,0.050344646,1,0.671175397,0.247647641,0.018773966,0,0,0.062402909
3715.7,2.53361,68.99839239,0.071740517,0.0950182,0.981082207,0.574732007,0.305106298,0.048421197,0,0.001391767,0.07034875
3715.8,2.503394793,68.10880903,0.096944627,0.510725774,0.968923774,0.432137153,0.343666411,0.127251716,0,0.003022135,0.093922494
3715.9,2.465981364,68.14458268,0.125126198,3.34804091,0.959547589,0.300685462,0.357703897,0.216484432,0,0.005072602,0.120053588
3716,2.435912273,69.92566534,0.139469609,8.314078946,0.9522677,0.235202795,0.365791422,0.259536123,0,0.006657198,0.132812422
3716.1,2.421115909,73.50011406,0.142596542,10.14045938,0.9522677,0.212606101,0.375169235,0.269628184,0,0.00680646,0.135790069
3716.2,2.418513182,77.87260715,0.13922459,8.086237229,0.9522677,0.208518239,0.400626061,0.251631111,0,0.00664551,0.132579064
3716.3,2.415752273,82.17937402,0.140896263,9.087512742,0.9522677,0.189636817,0.432725608,0.236741312,0,0.006725301,0.134170967
3716.4,2.405355,86.06764576,0.146093827,12.80180307,0.958653761,0.167897113,0.461960743,0.224048238,0,0.006034029,0.140059794
3716.5,2.396544091,89.88674225,0.148125664,14.53693891,0.967887419,0.167265993,0.471804152,0.212804183,0,0.00475604,0.143369593
3716.6,2.403174823,92.46681713,0.140905197,9.305918631,0.977122013,0.176698422,0.477041994,0.205354381,0,0.003232367,0.137672813
3716.7,2.428150841,93.88946719,0.118899516,2.302877601,0.9847704,0.256115468,0.477755067,0.147229868,0,0.001810798,0.117088747
3716.8,2.464286804,95.17615486,0.097115712,0.585827227,0.9847704,0.350367604,0.461789887,0.090726804,0,0.001479037,0.095636696
3716.9,2.498589882,95.97634355,0.081171797,0.175540152,0.9847704,0.390531724,0.459067687,0.069228802,0,0.001236219,0.079935582
3717,2.521381818,96.31736611,0.075399848,0.119163148,0.9847704,0.395290715,0.444330465,0.084979028,0,0.001148312,0.074251535
3717.1,2.53538,96.56408779,0.069039014,0.078532831,0.972389788,0.429704902,0.428865383,0.072390791,0,0.00188832,0.067150692
3717.2,2.544287273,96.60271878,0.065647586,0.061828617,0.961220734,0.485239034,0.41434047,0.034772928,0,0.002544152,0.063103431
3717.3,2.544792727,96.55842875,0.06700283,0.067872262,0.958296292,0.563150396,0.369846707,0,0,0.002806129,0.064196702
3717.4,2.537461818,96.46684573,0.075317919,0.119497649,0.90625601,0.61516008,0.309522004,0,0,0.007091012,0.06822691
3717.5,2.527229887,96.42001444,0.082894751,0.195243324,0.884166885,0.634566554,0.282538694,0,0,0.009597504,0.073297245
3717.6,2.520550122,96.40005707,0.084906399,0.221625074,0.897400371,0.633659364,0.281434205,0,0,0.008722998,0.076183402
3717.7,2.524780174,96.47106485,0.079710754,0.160585385,0.940101517,0.619046795,0.301242447,0,0,0.004857441,0.074853308
3717.8,2.539803636,96.68800035,0.073432841,0.104509282,0.989702517,0.58070894,0.332019916,0.01383831,0,0.000792961,0.072639878
3717.9,2.558859545,97.1312788,0.070330598,0.08431371,1,0.5164251,0.343314465,0.069929811,0,0,0.070330598
3718,2.572031364,97.43228084,0.0693392,0.078903928,1,0.440977437,0.339941772,0.14974159,0,0,0.0693392
3718.1,2.574119091,96.91812632,0.06477001,0.058284282,1,0.417682074,0.328378723,0.189169195,0,0,0.06477001
3718.2,2.566168182,95.42188768,0.062516549,0.051133455,1,0.46123394,0.310744235,0.165505288,0,0,0.062516549
3718.3,2.554804545,93.64000736,0.057607038,0.036273237,1,0.57743933,0.279505131,0.085448462,0,0,0.057607038
